Queue;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
ABP Queue;1743.33;1887.49;2054.08;2220.85;2560.84;2310.78;1805.62;2093.96;2095.00;2286.04;2274.42;1904.57;2075.61;2217.34;2732.43;2163.14;1856.99;2483.03;2135.94;1729.54;1946.09;1870.74;2529.71;2159.49;2115.69;2383.80;1775.75;1881.24;2206.18;1885.19;2581.78;2145.80;2748.40;2536.26;2416.99;2588.03;1912.72;2028.23;1997.78;1808.60;2818.31;2176.48;2326.43;2500.09;2012.24;1954.18;2908.03;2033.77;2275.28;2287.07
Chase-Lev Queue;2965.54;4916.53;2904.06;3570.82;5312.13;2999.25;5006.99;3157.63;3856.46;3086.64;3139.27;3518.17;4541.58;3378.23;3472.98;4879.42;2199.52;5031.33;5056.40;2998.24;2937.74;2588.20;3512.78;2620.70;4292.31;3480.73;2940.29;3263.38;4205.97;5279.58;3428.94;3262.12;4676.09;3150.49;2789.34;3213.96;3124.36;2594.31;3888.28;2678.07;4339.03;2781.08;3002.15;2197.96;2837.59;4971.81;3146.34;4763.95;3307.33;3076.87
Chase-Lev Naive Shrinking Queue;3286.81;2104.79;2120.20;2100.15;2015.97;2188.14;2174.97;3437.58;2626.11;2695.11;1691.58;2032.79;1960.93;2226.21;2098.97;2221.27;3821.38;2246.13;2161.76;2061.23;2570.47;3505.06;2305.91;2218.66;2287.02;2376.76;3618.44;2407.08;2328.34;2021.77;2277.25;3502.90;2564.31;2301.28;2261.94;1708.96;2236.33;3666.83;3541.19;2343.35;2345.91;1898.86;2358.95;1910.00;3608.11;2212.81;1890.89;1755.49;2270.00;3205.02
Idempotent Work Stealing Queue (LIFO);11285.77;22954.67;15900.80;19986.98;18834.45;18563.18;8119.17;16414.92;8725.72;8160.18;8514.59;7724.45;10873.78;7899.52;8889.55;7680.03;7261.75;14316.50;15248.19;7780.85;12446.84;5078.76;11318.75;9728.13;9759.74;11216.76;21634.10;11719.98;7300.07;12443.37;10589.52;8782.87;10163.41;10799.84;8731.22;11195.24;9460.39;19397.96;21590.37;6648.13;11367.58;15913.60;11554.71;7926.21;11444.83;12684.72;13816.12;11943.99;11619.37;10658.72
Idempotent Work Stealing Queue (FIFO);5974.28;6832.28;7222.09;6373.16;9317.21;5712.21;10189.94;5785.35;5717.60;5287.57;6306.65;9712.31;5381.34;6022.96;4389.12;5398.66;5015.54;4997.97;5076.12;7376.57;5926.50;5954.79;8938.94;5652.41;4804.84;4894.49;5532.95;9938.41;8335.83;5780.29;7185.26;4821.53;9526.78;5790.49;6513.64;5695.17;8670.22;9418.91;8653.62;10516.27;6218.03;6999.30;6176.19;6629.30;5944.65;11486.31;5077.54;10137.99;5914.36;12886.72
Idempotent Work Stealing Queue (Double-Ended);9711.52;14263.60;25147.99;20947.07;11956.92;21397.16;10967.78;8388.19;30831.97;17742.73;13971.73;14825.59;18081.86;23143.49;21365.05;20968.49;15694.97;13182.27;20590.30;15755.42;14549.32;17293.00;31073.79;31861.57;9980.53;25230.15;21530.06;34435.14;8427.52;33260.37;13988.83;20794.27;21406.24;13409.02;21118.55;13667.84;28436.46;20458.67;15245.29;22700.13;31874.89;14308.40;20363.25;22772.91;16012.92;12936.94;23161.09;14570.69;40209.22;31481.06
Duplicating Queue;3053.83;3653.64;3286.43;4013.08;3832.48;3931.31;3759.69;4886.85;4872.24;3333.95;3657.22;3591.07;3238.90;3404.31;3008.88;3077.86;3704.75;3615.77;4667.54;3770.74;5086.30;5032.97;3149.56;2534.16;3324.70;2738.11;3015.29;3135.64;3475.25;4189.00;4317.81;3385.17;3498.38;3284.94;4557.14;5581.30;2517.03;2726.23;3326.80;2668.65;3188.80;3246.63;4859.97;3737.16;2357.12;5099.81;2422.54;4933.03;5172.85;3047.45

