Queue;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
ABP Queue;1360.51;1522.74;1840.43;1394.80;1624.09;1783.14;1614.17;1643.02;1650.13;1587.62;1652.76;1640.39;1393.12;1641.40;1836.96;1613.60;1379.87;1763.68;1384.52;1733.93;1331.00;1394.14;1566.40;1549.29;1492.13;1388.13;1572.24;1520.08;1694.03;1660.79;2054.96;1481.26;1637.90;1695.26;1405.39;1760.88;1249.16;1578.01;1385.62;1546.25;1905.60;1697.85;1508.31;1669.94;1541.31;1452.80;1575.52;1547.16;1441.19;1249.78
Chase-Lev Queue;2597.14;2060.92;2866.98;3790.54;2558.14;3013.77;2901.18;3280.14;1843.99;2770.01;2151.20;3009.66;3089.38;2258.18;1824.76;2670.87;2663.63;3116.86;3005.06;2358.29;2576.71;2557.79;2332.43;2641.74;2797.98;3050.85;2462.75;2023.46;2710.78;2284.05;2680.25;2360.98;2284.53;2245.55;2306.69;3343.31;2244.38;2815.94;2447.47;2610.99;2040.09;2005.40;1949.68;2160.84;1962.82;2214.56;2518.15;1847.09;2661.28;3837.05
Chase-Lev Naive Shrinking Queue;2654.30;2338.77;2149.26;2180.89;2074.58;2862.99;2178.46;1755.97;1686.87;1991.89;2419.73;2100.44;2486.87;2718.65;1987.10;1753.37;2035.23;2588.39;1818.88;1737.62;2125.73;1994.85;2161.68;1985.08;2374.31;2191.05;1681.88;2477.25;2510.71;2436.83;2488.54;3045.05;1858.81;2175.95;2904.24;2114.98;2574.16;2433.58;2575.08;2820.04;2592.02;2360.03;2585.61;1856.62;2026.44;2113.83;1928.82;1795.23;2698.22;2644.67
Idempotent Work Stealing Queue (LIFO);3864.06;3954.21;5053.72;3676.19;3923.91;3491.60;3248.30;3354.82;4628.02;4178.43;4338.58;6422.59;3963.47;3770.56;3330.14;3881.81;3628.13;4883.92;4674.61;3791.06;4002.83;5697.15;4117.32;6844.12;3613.06;4162.42;3893.36;8696.27;3505.03;3328.86;6644.28;5083.48;9525.44;3813.84;4856.91;4156.39;4197.46;4076.13;4809.21;3250.13;3265.12;3830.96;3859.96;4459.31;3530.10;6920.72;5463.00;4083.01;4948.12;3449.60
Idempotent Work Stealing Queue (FIFO);10684.93;11589.67;13722.71;14623.01;12779.38;9685.28;10790.33;10780.93;10720.25;10683.44;10486.29;10519.23;11057.64;10458.07;10131.68;11349.34;12696.93;13292.63;16039.40;11721.61;13674.25;9476.12;12543.61;11970.82;10590.16;11564.11;10165.15;11104.61;13748.40;11710.86;17363.25;9850.44;12095.55;10718.14;10998.74;11559.94;10676.08;11247.41;10834.72;11072.66;10134.94;14079.39;8707.25;10274.59;11284.94;8379.80;14710.45;13878.73;9062.16;15780.08
Idempotent Work Stealing Queue (Double-Ended);16395.93;11022.43;8702.92;12145.92;11175.74;10237.67;10866.06;11715.53;9746.53;13885.23;10201.84;10671.06;7370.65;11536.43;11701.53;9192.31;8787.41;8457.36;12270.49;10798.64;6476.71;12834.39;13906.49;13643.84;9919.57;8686.38;12299.89;12545.87;15495.91;9645.96;11768.58;14387.77;10808.85;7391.05;11675.63;10482.77;12403.81;9433.76;11531.12;12595.61;9043.08;14539.73;16145.01;9785.78;6977.24;13407.75;9693.45;10914.46;9678.87;12627.43
Duplicating Queue;2412.22;2015.34;1904.91;2678.01;2375.30;2852.42;2159.97;2417.73;2639.51;1822.23;2370.32;2385.65;2497.96;2573.38;2144.67;2225.17;2626.29;2177.41;2401.94;2081.71;2485.02;2456.33;2538.38;3060.42;1914.52;1873.04;2359.22;1972.10;2664.74;2523.41;2603.77;1826.03;1846.32;2469.83;1990.31;1734.11;1969.14;1983.27;1994.00;2183.23;2471.75;2333.40;2083.36;2877.77;1841.15;2127.52;2284.15;2314.29;2129.92;2665.62

