Queue;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
ABP Queue;323.73;304.38;236.32;214.72;242.11;210.34;232.14;246.57;230.35;265.92;272.47;210.37;263.49;217.57;258.78;222.96;232.28;221.99;227.57;214.21;282.23;229.16;269.79;237.72;232.70;218.03;248.77;269.65;225.63;239.20;247.55;222.35;227.85;224.55;223.62;251.88;295.70;295.63;215.68;241.31;254.72;217.31;238.87;226.75;253.35;227.21;269.24;228.53;213.88;282.95
Chase-Lev Queue;210.54;292.33;261.95;244.21;227.14;216.04;238.03;209.97;209.18;210.92;224.22;302.94;221.99;211.27;200.64;243.81;212.19;231.52;220.09;231.87;205.67;228.26;217.41;230.27;218.93;217.09;248.85;240.95;233.83;233.22;327.27;215.80;199.28;187.36;197.14;234.77;208.16;223.61;250.84;220.81;216.63;213.09;269.14;242.57;223.50;202.00;232.11;216.98;205.12;231.76
Chase-Lev Naive Shrinking Queue;248.18;217.73;200.78;222.42;209.46;216.79;230.70;229.51;229.38;211.00;231.21;222.83;197.85;241.50;285.89;213.64;240.64;213.95;220.71;214.93;219.25;212.91;206.20;239.02;264.68;191.91;251.86;212.10;232.69;207.04;214.56;209.46;203.13;225.61;241.10;205.46;228.07;222.10;211.64;254.29;213.65;212.07;219.58;225.49;210.71;204.06;285.81;221.05;219.68;282.14

