Queue;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
ABP Queue;290.42;302.65;253.33;311.39;283.49;244.89;277.51;262.85;261.29;280.62;246.98;268.08;257.31;276.90;287.26;261.12;266.66;247.47;261.83;255.30;266.22;241.09;279.55;247.58;242.61;269.51;245.93;248.84;236.90;274.29;259.59;279.48;245.96;257.59;269.89;261.82;276.23;264.92;247.74;270.24;265.35;265.67;235.31;246.28;289.12;250.17;234.11;260.54;249.12;264.18
Chase-Lev Queue;271.54;247.27;254.96;265.41;253.38;244.00;267.29;244.64;241.49;263.54;244.56;268.69;258.91;247.91;255.96;253.89;250.02;254.12;235.36;252.13;246.63;233.93;259.95;267.39;251.40;234.55;264.18;247.15;238.82;287.42;265.61;244.15;252.93;246.42;236.68;252.36;250.98;241.94;258.04;242.76;249.20;258.73;252.12;246.71;249.04;255.87;257.05;253.01;267.85;245.37
Chase-Lev Naive Shrinking Queue;259.95;244.30;253.49;257.79;243.15;259.48;244.64;242.73;261.78;243.94;242.53;251.05;249.75;262.03;252.23;266.12;244.00;252.46;256.83;260.04;249.08;252.63;246.00;248.06;250.47;247.58;261.86;249.21;270.20;256.82;233.81;258.21;236.52;251.25;261.36;238.05;244.07;261.40;249.07;250.96;251.07;265.11;241.02;235.52;267.81;253.19;233.56;264.38;245.73;250.98

