Queue;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
ABP Queue;422.40;315.01;390.32;361.71;314.23;350.03;400.04;366.44;403.81;380.27;333.75;382.07;348.90;324.62;316.18;290.16;294.98;328.87;344.10;321.42;331.09;320.65;416.73;334.61;406.15;379.28;301.61;315.72;411.55;290.63;331.18;383.62;309.03;379.77;318.46;347.36;349.96;360.34;327.51;381.95;323.64;353.48;391.22;312.31;344.19;316.98;345.34;302.47;321.89;342.70
Chase-Lev Queue;388.06;353.80;386.52;330.64;322.96;316.86;330.18;318.01;328.53;453.38;372.11;363.73;342.37;329.50;393.75;306.96;317.26;330.96;355.81;320.00;335.53;348.13;365.36;307.51;346.27;406.40;363.54;383.65;342.62;389.02;322.85;376.13;323.36;368.64;373.29;360.91;376.62;299.82;314.18;326.06;309.44;332.13;357.47;304.44;395.40;364.17;358.11;337.79;337.22;385.98
Chase-Lev Naive Shrinking Queue;394.07;342.99;343.26;422.80;409.56;333.12;321.74;336.95;346.15;337.32;395.59;323.98;357.85;337.65;356.55;320.21;365.08;337.84;319.81;401.93;350.98;339.18;368.32;326.45;363.80;311.15;368.26;321.27;386.96;312.66;331.07;313.55;325.87;368.33;325.45;379.04;357.81;360.08;345.61;350.07;317.66;377.72;332.57;318.46;423.98;323.06;331.48;375.49;314.21;351.43
Idempotent Work Stealing Queue (LIFO);474.41;343.07;334.35;540.10;378.62;447.52;456.51;376.59;413.64;359.05;370.65;372.93;349.69;347.82;377.16;369.07;370.64;451.01;387.15;426.07;393.00;361.60;359.54;384.78;413.58;369.03;406.34;400.03;376.35;360.07;347.60;357.33;373.46;394.93;378.54;424.24;380.83;350.34;351.90;416.02;371.07;359.32;377.36;402.16;388.34;366.08;371.24;370.85;339.44;362.64
Idempotent Work Stealing Queue (FIFO);288.81;270.05;362.08;291.44;430.39;317.60;266.18;295.02;332.78;277.49;330.57;274.02;290.98;274.59;280.04;372.13;289.81;285.90;301.29;289.55;411.03;297.06;286.33;283.56;309.11;301.92;295.62;306.30;287.59;321.36;269.79;291.11;280.58;302.04;290.34;289.73;285.51;336.02;302.05;320.43;281.07;362.46;276.75;326.57;255.13;279.88;287.06;376.20;309.77;320.47
Idempotent Work Stealing Queue (Double-Ended);392.04;415.16;413.42;380.93;371.47;384.80;399.87;397.66;396.65;373.63;337.07;439.22;352.10;356.84;367.88;352.75;401.70;422.22;367.29;386.99;368.08;392.30;406.28;380.05;388.08;391.35;368.22;372.96;339.52;375.96;414.86;376.67;416.20;332.86;361.95;554.58;402.11;370.19;393.10;338.14;362.98;418.77;346.73;390.43;391.83;387.92;378.51;366.71;374.51;375.67
Duplicating Queue;351.65;356.13;379.33;362.32;369.90;362.49;343.37;355.33;366.86;381.53;340.44;381.23;389.08;311.53;379.20;382.09;343.87;368.13;336.94;371.64;357.94;330.75;362.72;360.49;408.90;308.03;389.21;355.78;332.76;412.56;357.81;343.30;371.06;418.75;367.65;396.70;323.80;413.48;334.02;329.40;342.22;334.23;386.81;338.49;343.00;366.07;483.04;357.53;328.37;370.15

