Queue;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
ABP Queue;448.85;473.28;474.74;403.27;383.49;417.24;450.26;408.57;398.70;472.70;444.98;391.87;395.36;384.14;382.19;378.57;393.76;434.01;381.25;407.07;390.82;435.64;380.52;459.16;386.60;434.11;489.91;434.83;345.97;439.89;373.09;424.20;414.41;505.88;404.17;576.07;376.31;429.26;448.93;441.40;529.43;472.33;359.41;463.89;401.83;426.58;431.98;323.01;376.92;483.01
Chase-Lev Queue;392.63;410.37;379.41;428.73;451.22;432.52;428.26;401.32;424.85;324.08;401.29;473.72;388.13;443.31;340.15;485.86;376.18;474.24;376.09;430.28;378.99;416.37;387.82;361.61;388.46;429.41;374.61;451.79;378.47;542.16;458.05;364.19;382.80;469.16;399.80;383.38;377.94;448.88;376.34;409.51;385.45;369.69;363.25;399.90;355.81;345.23;421.84;384.48;354.63;467.24
Chase-Lev Naive Shrinking Queue;390.02;385.60;339.46;467.82;330.66;383.57;348.19;362.52;344.38;411.83;347.98;426.59;302.89;359.80;367.52;355.49;362.23;318.25;343.56;385.75;398.14;304.50;379.54;338.91;343.27;407.37;468.53;358.19;387.05;340.31;288.63;350.91;328.37;384.79;393.77;389.21;365.86;336.14;356.90;332.68;319.71;335.23;400.86;365.05;362.64;366.19;389.78;270.62;330.58;321.12

