Queue;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
ABP Queue;2320.85;845.15;703.54;663.43;745.65;1071.24;6053.38;869.30;1885.43;468.50;514.22;583.43;628.90;821.75;862.54;634.89;660.79;792.50;741.65;496.65;459.11;492.05;488.30;714.78;684.73;585.74;641.25;585.64;621.44;793.66;819.40;722.03;600.54;804.47;545.51;583.29;778.58;795.29;564.07;500.35;768.88;758.77;742.70;554.55;542.94;791.88;549.96;578.84;539.46;564.94
Chase-Lev Queue;502.10;523.50;563.25;582.22;813.04;734.52;566.29;605.70;558.29;699.40;576.41;630.20;578.64;577.59;568.32;562.26;574.31;564.92;720.48;518.01;564.57;706.24;588.00;557.48;508.42;493.94;554.46;644.00;679.07;542.60;537.52;543.00;530.46;499.04;541.51;572.44;575.93;583.09;694.26;576.86;568.99;713.14;576.94;569.13;701.13;536.94;535.23;570.01;531.29;620.24
Chase-Lev Naive Shrinking Queue;688.04;572.38;552.71;698.90;548.51;557.63;703.60;541.62;553.75;676.27;571.25;569.70;687.50;563.02;655.37;717.51;682.37;532.09;560.46;709.17;573.02;566.70;565.89;569.55;735.18;581.67;569.27;584.21;569.17;561.36;575.68;720.00;487.30;532.27;549.60;660.63;662.68;541.91;484.14;501.07;501.90;537.66;769.08;835.66;511.19;706.29;723.11;550.41;712.79;567.85

