Queue;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
ABP Queue;1501.39;1006.96;940.55;3775.01;992.25;986.91;2141.58;835.71;994.56;1483.74;744.66;793.70;683.97;767.82;803.80;839.56;832.84;681.09;745.36;815.85;667.34;797.36;779.79;784.65;766.29;804.62;780.49;816.76;690.73;793.58;982.36;815.90;777.79;821.83;720.30;701.63;801.98;761.21;784.65;793.11;798.44;768.52;784.59;776.82;796.11;799.56;775.56;799.36;798.66;770.16
Chase-Lev Queue;784.78;767.95;800.65;791.11;790.79;782.34;777.08;806.92;778.03;770.57;773.49;674.93;662.23;792.63;800.80;796.17;699.28;803.70;800.66;779.03;808.79;693.27;795.73;780.72;672.10;794.18;794.87;796.01;783.08;771.44;755.42;676.34;797.50;799.15;793.74;781.89;799.44;771.26;776.09;796.68;806.28;776.11;787.10;773.86;684.62;797.71;788.36;724.10;811.08;788.44
Chase-Lev Naive Shrinking Queue;784.70;738.86;776.39;797.62;726.10;661.23;779.97;722.40;776.77;822.98;791.87;797.03;804.25;780.37;791.76;779.54;745.76;830.64;816.94;813.74;776.26;826.77;818.76;813.48;836.26;797.97;823.04;733.97;810.13;821.93;785.83;817.44;779.43;778.92;784.86;797.46;798.02;794.08;811.81;729.81;772.63;817.65;799.85;804.47;788.05;769.60;820.10;742.83;774.75;787.75

