Queue;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
ABP Queue;595.85;595.21;601.24;304.14;325.36;287.33;394.49;389.14;385.45;692.33;478.41;423.90;278.75;345.55;423.38;356.89;342.24;627.63;495.83;401.48;329.88;562.16;442.43;687.23;458.48;597.46;672.97;595.77;368.97;299.72;294.84;445.38;297.46;388.20;303.00;384.85;279.28;348.99;283.41;210.50;392.18;319.01;339.62;303.44;262.45;286.28;238.29;258.20;370.01;248.73
Chase-Lev Queue;325.31;360.41;294.44;518.80;443.06;469.61;416.73;444.58;425.69;358.50;407.29;402.50;401.32;498.78;503.40;700.68;282.83;306.82;356.41;270.24;339.52;312.19;304.05;315.30;347.11;298.32;249.97;332.16;275.25;413.50;334.13;344.73;278.46;309.16;310.12;285.70;285.50;276.53;215.11;301.05;265.63;291.28;344.21;404.87;296.84;220.03;474.01;342.77;291.52;316.43
Chase-Lev Naive Shrinking Queue;427.52;287.12;284.01;484.51;532.34;407.27;337.33;264.75;513.57;620.40;244.97;426.47;272.24;248.22;358.75;258.98;291.08;267.75;426.45;287.51;252.82;308.62;319.16;267.08;300.40;348.40;457.66;358.19;395.36;421.81;338.96;387.94;423.80;521.49;431.24;364.61;407.49;431.56;471.42;466.94;431.46;358.61;414.94;558.68;399.36;488.39;557.14;262.66;304.37;295.69

