Queue;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
ABP Queue;112.57;118.57;118.03;119.58;124.90;131.98;113.54;166.03;152.39;110.24;122.95;96.78;117.11;127.17;115.88;110.19;130.61;111.02;110.26;106.83;174.26;126.37;129.14;122.25;125.86;131.13;102.36;191.47;122.84;153.35;138.10;113.84;129.96;102.21;177.18;122.68;110.87;114.42;118.39;116.83;141.95;171.16;115.58;122.12;146.02;105.03;124.82;114.26;173.04;127.53
Chase-Lev Queue;106.71;111.42;127.57;150.28;126.71;143.89;105.03;126.44;97.10;147.62;107.64;156.14;124.14;130.22;157.83;125.87;100.34;136.88;166.27;149.64;130.09;109.26;129.29;123.41;128.14;104.96;155.89;122.26;112.24;136.38;107.14;97.87;98.64;158.33;119.60;117.45;101.47;127.13;109.63;109.52;108.62;175.05;111.09;124.87;109.87;132.75;119.00;151.10;114.18;155.21
Chase-Lev Naive Shrinking Queue;97.62;132.40;100.78;112.02;116.90;102.76;176.35;129.19;121.87;115.55;118.99;108.61;122.09;99.12;158.89;117.34;116.68;134.16;112.72;95.22;129.00;95.87;142.14;128.59;104.33;97.74;117.21;96.02;127.25;109.61;100.84;151.23;108.26;107.42;123.77;116.68;122.93;107.07;100.99;144.54;131.97;108.29;128.35;132.09;138.90;118.33;156.31;136.99;128.22;137.88
Idempotent Work Stealing Queue (LIFO);136.42;200.57;182.97;167.11;142.15;143.47;158.60;164.11;122.46;217.50;172.34;180.19;156.18;155.28;131.36;127.35;172.04;169.76;204.90;183.31;161.80;151.21;143.55;169.19;147.03;128.28;224.82;191.20;181.75;148.33;144.53;164.05;180.66;160.67;155.37;167.74;185.02;169.46;172.73;177.47;138.92;139.07;158.54;186.40;186.93;155.93;141.87;139.54;131.41;169.81
Idempotent Work Stealing Queue (FIFO);84.74;147.24;113.81;114.18;111.94;81.73;103.86;103.51;85.50;91.12;111.61;102.71;93.78;150.11;97.28;115.56;107.04;105.57;132.30;112.79;95.84;109.17;124.53;112.67;81.83;144.77;95.69;125.62;87.25;100.55;111.81;115.15;81.78;117.83;84.32;99.84;89.41;134.96;109.37;94.58;96.41;102.57;98.27;96.55;105.67;104.53;107.72;86.57;163.45;109.22
Idempotent Work Stealing Queue (Double-Ended);159.66;157.36;132.27;171.26;185.22;145.13;158.77;130.42;138.91;136.86;186.58;214.23;141.36;141.51;186.63;189.63;157.02;168.48;128.17;175.19;132.58;184.03;194.80;193.20;179.82;127.30;142.32;162.41;129.73;114.71;178.69;189.42;156.83;160.96;159.47;129.11;126.42;189.28;193.84;166.04;159.13;123.14;170.97;140.57;160.72;191.40;184.09;176.95;161.83;118.08
Duplicating Queue;130.66;124.32;134.05;117.72;129.71;108.43;167.90;141.61;122.50;139.02;118.24;114.65;112.10;132.06;136.75;116.71;119.04;104.80;121.69;98.10;131.06;129.30;147.90;116.27;132.00;98.83;217.63;121.72;136.95;147.20;118.38;131.55;108.97;141.67;132.54;133.01;145.89;126.49;102.59;167.93;111.13;96.03;128.88;101.66;120.27;183.96;120.96;124.94;158.88;110.00

