Queue;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
ABP Queue;181.40;186.62;175.44;169.80;175.88;183.70;201.83;170.93;182.86;171.94;169.86;167.68;167.12;210.14;187.29;150.99;177.47;180.77;180.39;169.19;265.43;174.84;180.98;188.21;176.06;167.79;172.94;174.71;179.84;181.39;179.81;200.13;245.00;177.71;161.55;192.52;170.65;201.17;174.33;207.88;180.27;204.89;172.09;227.92;189.15;211.98;204.95;203.42;187.13;195.69
Chase-Lev Queue;195.05;171.95;189.30;257.71;183.82;232.04;182.56;184.45;211.57;185.60;183.58;192.56;173.98;214.49;184.82;189.92;177.87;243.20;191.91;233.44;183.27;171.16;222.76;212.93;188.83;194.69;188.90;183.99;208.48;172.28;174.72;230.12;193.98;202.90;185.14;197.93;204.06;182.24;186.77;192.05;176.21;209.97;187.53;254.32;191.85;180.76;200.12;172.62;194.22;191.99
Chase-Lev Naive Shrinking Queue;225.20;178.25;221.70;164.11;188.33;230.79;189.75;175.30;215.53;185.95;205.91;166.99;228.31;207.27;189.52;202.76;187.73;171.10;181.82;225.92;190.94;188.19;193.05;192.19;183.79;186.99;197.35;216.81;208.38;187.08;176.81;206.91;227.98;194.87;202.63;211.28;234.66;183.90;194.73;173.23;177.94;176.06;182.33;205.86;189.61;246.67;186.55;179.39;186.43;179.26
Idempotent Work Stealing Queue (LIFO);272.62;248.37;238.20;244.41;254.03;197.66;223.06;257.06;246.76;236.55;235.46;222.78;242.96;238.70;240.05;236.13;206.57;223.94;241.82;223.93;295.16;261.61;235.79;238.88;283.50;198.73;241.57;273.18;254.99;254.63;248.78;262.74;249.57;279.70;234.65;229.50;215.46;238.27;259.30;248.75;267.16;237.46;214.95;243.95;212.96;234.40;226.66;220.16;233.79;251.83
Idempotent Work Stealing Queue (FIFO);150.63;181.55;162.07;163.09;164.73;187.43;176.89;160.81;158.98;178.59;173.31;211.65;165.91;173.80;157.19;186.80;217.92;177.11;157.67;190.15;150.85;161.30;170.08;182.21;219.33;149.43;171.68;161.24;238.12;166.88;193.95;160.20;177.43;153.01;158.02;161.73;157.46;163.01;156.58;162.50;168.31;162.84;187.62;168.31;148.60;185.85;196.94;163.46;167.21;177.64
Idempotent Work Stealing Queue (Double-Ended);234.92;214.36;231.43;261.81;244.32;207.33;210.31;266.06;267.99;245.09;272.56;213.43;214.16;204.45;252.51;235.37;242.66;258.96;193.41;210.35;255.24;212.31;271.55;213.96;198.56;201.97;227.29;229.43;253.55;304.17;205.55;220.77;256.73;231.68;200.06;240.49;190.36;244.42;217.60;197.91;207.29;218.97;247.68;207.23;214.97;270.93;245.89;232.23;291.16;202.89
Duplicating Queue;185.61;203.59;189.82;182.69;187.58;183.55;250.10;198.90;186.88;187.36;182.20;184.90;192.53;182.16;174.46;183.91;189.97;193.42;200.46;273.15;175.36;180.77;209.16;208.11;206.00;184.44;183.51;231.58;225.93;224.35;211.62;236.09;188.75;214.98;213.64;212.79;207.98;225.94;170.78;184.11;199.67;191.74;176.48;234.89;230.97;205.14;214.99;234.13;187.03;189.21

