Queue;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
ABP Queue;1579.82;1531.45;1928.35;1741.55;1934.91;2057.78;1863.10;1568.31;1761.57;1996.22;2629.25;1805.80;2036.59;1756.07;1752.98;1280.70;1994.80;2046.94;2136.68;1967.04;2016.99;2031.40;2212.64;2184.40;2002.53;2062.39;1801.32;1873.42;1579.99;1751.06;1708.72;2208.37;1828.88;1680.31;1673.55;1891.14;1549.66;1770.70;1635.77;1825.57;2108.25;1878.86;2194.50;1576.76;1763.86;1868.99;1867.10;1835.53;1983.18;1995.30
Chase-Lev Queue;2131.21;2965.52;2532.63;1810.53;3301.84;2406.17;2119.35;2489.97;2026.88;2298.00;2228.81;1958.79;2279.91;2321.77;2661.49;2191.99;2994.26;2606.56;2253.05;2233.56;2965.06;2504.61;3460.31;2428.25;3081.34;2195.80;2832.33;2020.70;2056.20;2226.68;2427.79;2439.09;2687.57;2511.48;3257.74;2751.45;2096.00;2925.04;2298.30;3276.85;1747.00;3054.86;2239.17;2703.18;2117.17;2645.19;2277.02;2570.82;2152.57;2648.39
Chase-Lev Naive Shrinking Queue;1668.75;1826.56;2355.63;1968.93;2841.41;2451.78;2185.07;2439.23;2014.93;2006.12;2816.55;1866.62;1995.58;1983.79;2179.87;2107.55;2142.03;1736.98;2468.11;2077.52;1701.29;2070.33;1985.86;2041.74;2386.01;2027.41;1995.90;1932.00;2060.47;2152.23;1835.41;2064.29;2004.57;2411.59;2210.56;2650.38;2995.89;1918.77;2407.95;2622.08;1822.55;2193.97;2522.35;2226.07;2205.38;1953.73;1940.26;1635.30;1900.42;2778.48
Idempotent Work Stealing Queue (LIFO);6814.98;5947.61;7812.18;6170.75;9071.68;9587.32;7997.68;11465.57;8203.17;7117.14;8767.78;7555.47;7352.81;7211.71;7935.37;10545.16;10887.37;9375.48;8194.18;6572.49;8385.95;11320.37;5598.49;7139.50;7303.07;9785.03;17732.10;8955.71;8920.52;5798.79;6886.25;14457.64;8551.43;9025.59;6563.06;7377.40;13827.71;9440.06;9123.05;9317.38;9159.18;12972.62;12404.15;8291.57;7944.44;11780.07;7711.83;6700.24;10424.72;7809.06
Idempotent Work Stealing Queue (FIFO);12508.96;14198.14;18683.42;13109.47;10245.74;11554.90;10609.10;11844.05;7172.89;11069.90;16696.87;10805.14;12361.49;12498.97;10741.97;11566.27;10943.90;11450.51;10531.05;10272.39;7925.11;10401.47;11683.27;11416.57;15684.24;10570.57;12543.63;11808.06;11077.16;7063.35;10366.49;12401.68;10821.91;10951.31;10584.70;11905.27;6960.57;11793.07;12637.84;11895.42;10246.33;11429.53;11596.79;11355.39;6650.31;7166.71;7448.29;7500.02;7472.58;6972.33
Idempotent Work Stealing Queue (Double-Ended);18071.98;8984.18;18011.82;25160.86;14120.33;16146.96;14959.00;42237.83;10978.26;17701.13;17239.96;17530.73;13518.82;22555.33;13499.17;18676.29;11199.73;11155.16;15955.67;30268.60;19482.32;12028.35;8889.68;12762.99;25032.08;13432.30;13392.20;16212.83;14100.29;21700.00;19196.85;14232.51;9287.42;13090.98;11708.43;13001.16;18929.20;10736.67;13094.29;10159.08;17589.45;16202.38;14185.07;15211.00;13339.30;12029.87;19198.32;10045.52;8768.60;15372.18
Duplicating Queue;2817.47;2659.77;2675.17;2592.84;2333.05;2846.87;2601.54;3234.15;3045.10;2615.61;2951.20;2460.73;2795.66;2683.60;2805.32;2233.98;2369.19;2637.31;3107.50;3065.77;1892.15;2372.23;2229.43;3068.30;2711.26;3173.72;2740.30;2910.01;2308.55;2929.99;2337.59;2829.09;2459.36;2543.82;2750.78;1932.13;2180.51;2202.54;2482.06;2540.13;2162.98;2651.05;2930.83;2751.27;2847.26;2501.29;2768.83;2557.08;2989.89;3002.61

