Queue;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
ABP Queue;4593.53;4950.73;4266.16;5627.17;3819.73;3005.09;4320.62;5749.97;3348.44;5277.31;3719.53;3696.22;4578.16;4855.64;3673.71;2652.05;5462.82;2960.07;5418.49;5206.77;3274.09;3628.85;5647.92;2724.46;4024.12;3425.78;3774.85;5646.86;4690.70;3700.62;5048.76;2933.24;3496.86;2896.29;4543.26;4699.29;3148.76;3296.69;3106.51;3712.35;5393.70;3260.80;2886.69;3435.37;5068.65;4879.37;4669.20;5666.15;3421.69;2755.16
Chase-Lev Queue;10409.82;4715.76;8300.32;10476.74;5513.37;5918.39;5197.76;7165.54;4242.97;6975.25;9935.86;7565.50;7998.74;5648.86;8546.72;4178.86;6525.07;5376.22;5450.43;7955.65;10358.87;6567.50;6294.91;4913.19;6154.20;5287.17;9826.74;4129.66;10891.18;6982.51;5377.53;4086.36;2977.88;4489.41;11099.25;6667.52;5996.27;4277.23;6838.09;8839.48;10436.21;3117.56;7049.52;5129.08;7548.45;4011.41;5484.34;7872.41;6232.44;5267.52
Chase-Lev Naive Shrinking Queue;3243.82;2463.85;2713.79;6015.04;6133.54;3159.96;3542.05;3577.41;4846.59;3694.91;6981.65;2570.81;2748.61;3305.51;3438.75;5399.40;3665.92;3908.52;3699.32;3870.18;3271.24;2379.28;4645.60;6395.58;2768.38;4337.37;3766.13;5943.93;3231.79;3677.89;4095.52;3288.93;4645.48;3511.45;4683.93;6157.15;3313.69;3536.63;3248.47;3494.19;3402.67;3596.23;2392.45;2117.50;3645.96;2976.83;3274.20;2376.87;2638.13;3654.33
Idempotent Work Stealing Queue (LIFO);11642.94;12762.64;34641.59;28507.44;8421.66;13091.86;13116.49;21719.70;21802.09;20599.66;20249.24;10210.84;17522.82;17826.96;12598.27;17021.39;14403.40;18334.37;11996.33;10719.20;10500.76;16763.25;18971.06;17383.17;16327.14;8709.53;20092.28;7891.89;15248.72;13588.39;17029.28;7695.50;14376.42;21118.15;18571.63;9399.07;12222.72;15351.41;10819.60;15175.07;18334.43;15063.73;17881.66;14726.91;15254.27;16912.63;19814.42;10389.29;18101.12;18963.66
Idempotent Work Stealing Queue (FIFO);7723.91;6904.06;7816.09;8315.44;6460.33;13607.34;7025.86;6959.81;6124.29;8652.23;8901.88;11398.66;6348.18;7072.65;12545.83;7447.56;8551.12;10216.46;5550.21;6026.11;8069.13;5568.16;7497.51;6119.74;9901.93;7483.30;6379.11;7798.11;7528.87;6612.37;5899.91;7454.06;6315.33;10010.04;8195.85;11291.22;6882.25;5915.92;7827.69;6443.73;9984.89;6375.32;6819.31;10435.42;14101.36;8458.39;8456.85;11921.28;7485.63;5186.05
Idempotent Work Stealing Queue (Double-Ended);24871.63;33497.96;21982.65;34647.69;16434.16;28458.99;51497.18;47653.16;13005.40;29035.30;44278.33;14910.25;20358.36;94274.26;54512.17;13313.28;21359.86;11939.70;23682.44;12468.12;51656.73;15833.46;44911.35;37640.41;24045.98;25001.96;24662.57;20931.01;40180.62;14706.16;26353.47;19940.83;32332.12;25819.31;19984.00;29106.41;21669.27;21878.62;48077.79;16914.18;8662.89;17768.08;25423.96;13073.51;23971.15;18994.72;34807.57;12006.51;43299.35;9202.56
Duplicating Queue;4319.20;7818.49;3599.01;3372.94;4612.97;3771.77;5272.29;8248.62;4788.18;4641.55;8225.43;5434.07;6967.54;7768.22;8206.19;6162.55;6454.08;6445.25;6462.04;7680.18;8268.36;5411.67;4944.57;7583.84;4235.57;6975.35;2967.33;7519.49;7014.41;3894.24;7110.98;3936.29;5359.48;6646.18;8662.92;4097.51;4981.99;9426.46;6143.40;6494.04;5754.86;10023.07;5426.32;6933.12;4271.84;6533.04;7038.38;7368.77;4584.11;3223.10

