Queue;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
ABP Queue;1045.83;4476.51;1082.18;1162.83;1691.88;1161.43;1179.87;982.72;1005.74;1011.65;1162.26;1162.15;1032.55;1276.52;1019.50;1193.18;986.46;986.76;941.28;1129.76;1148.46;1250.24;1255.33;830.90;1096.81;1993.03;962.16;1139.17;967.34;1218.64;1683.11;940.74;1196.10;1064.93;1305.98;910.99;935.73;1648.62;1200.30;1077.48;1148.26;1246.35;1254.63;930.55;1315.22;1528.07;911.26;1022.83;818.44;812.73
Chase-Lev Queue;980.19;1412.98;1273.71;1195.80;1310.12;1106.17;957.06;1087.46;905.74;1564.15;1194.11;776.17;1251.43;1117.89;934.42;1232.19;1133.84;770.95;2139.33;852.55;1203.76;995.45;845.85;913.70;742.58;1319.95;1510.72;996.48;1084.38;1275.63;1111.39;1227.77;783.49;1103.05;1525.89;1079.06;1265.99;917.78;1155.91;1162.50;1166.16;1154.42;1492.09;1008.64;1040.47;925.49;1123.18;1295.53;1346.79;934.60
Chase-Lev Naive Shrinking Queue;912.02;1209.99;805.91;1233.07;965.57;1005.67;1265.19;1731.09;1053.76;1135.56;1200.21;1126.36;1252.44;859.01;1072.03;1624.89;1125.05;1309.40;1123.78;958.41;1045.48;876.63;1188.12;1368.63;1222.11;1112.35;1044.26;927.94;1036.58;1094.31;1103.53;1395.04;1142.50;1259.31;908.41;1133.65;979.39;1210.19;952.83;1351.40;1435.58;1022.73;1045.11;1163.67;963.05;860.26;893.49;1453.03;1142.65;1087.90

