Queue;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
ABP Queue;2569.79;836.63;1069.77;7081.52;929.79;2188.78;806.83;841.36;3356.14;744.63;717.02;648.71;712.93;670.69;599.78;685.02;732.43;701.52;628.53;674.84;674.81;639.16;723.62;748.16;668.19;700.68;658.06;637.07;683.94;690.01;671.85;619.03;670.97;662.15;667.92;613.30;683.83;742.10;659.81;625.42;681.08;687.98;641.75;710.88;762.08;672.15;709.25;695.03;632.48;684.98
Chase-Lev Queue;689.26;686.72;607.89;674.60;650.71;616.86;668.83;666.66;626.98;693.00;695.83;626.95;707.00;650.76;712.33;682.79;709.07;655.57;692.63;666.94;696.39;637.84;718.41;671.62;725.26;650.77;690.25;664.16;718.07;665.19;695.12;667.42;698.46;660.00;702.30;662.16;716.26;652.27;715.20;676.84;634.15;662.94;607.18;701.89;684.75;635.58;680.47;660.66;585.64;695.76
Chase-Lev Naive Shrinking Queue;593.16;653.77;662.90;618.91;710.69;671.28;644.75;692.24;638.60;597.14;679.72;660.84;656.67;598.17;669.18;654.46;620.79;581.46;676.45;689.92;661.96;611.52;675.81;659.15;609.83;707.67;674.44;628.77;693.12;660.73;721.25;682.46;712.11;659.68;697.66;656.30;708.50;646.96;724.76;664.59;694.81;668.53;716.62;675.07;716.49;660.80;702.35;649.44;710.20;663.33

